sl_no,well_id,state,district,block,location,latitude,longitude,year,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U,Fe,As,source_year,source_file
1,W254029084355301,Himachal Pradesh,Solan,Nallagarh,JAGATPUR,31.1594,76.6785,2019,8.44,299,43,87,21,BDL,2.7,<0.1,84,17,10,39,2.4,0.20,11,,,,,2019,cgwb_2019.pdf
2,W251908084361501,Himachal Pradesh,Solan,Nallagarh,BARUNA,31.1540,76.6384,2019,8.40,270,43,87,14,BDL,10,<0.1,116,10,18,23,1,0.12,12,,,,,2019,cgwb_2019.pdf
3,W310955076364001,Himachal Pradesh,Solan,Nallagarh,BHATOLI,31.1651,76.6082,2019,8.40,318,43,87,21,BDL,13,<0.1,116,10,18,28,2.5,0.15,13,,,,,2019,cgwb_2019.pdf
4,W310143076392701,Himachal Pradesh,Solan,Nallagarh,,31.0200,76.6500,2019,8.12,715,Nil,131,134,21,52,<0.1,200,38,26,68,4,0.14,16,,,,,2019,cgwb_2019.pdf
5,W321645075471501,Himachal Pradesh,Kangra,Nurpur,PANJPIR,32.2800,75.7914,2019,8.12,277,Nil,171,14,BDL,10,<0.1,110,28,9.7,26,2.01,0.22,30,,,,,2019,cgwb_2019.pdf
6,W321645075503001,Himachal Pradesh,Kangra,Nurpur,JASSUR,32.2796,75.8408,2019,8.45,330,24,122,21,BDL,21,<0.1,140,24,19,23,1.99,0.16,14,,,,,2019,cgwb_2019.pdf
7,W321300075401501,Himachal Pradesh,Kangra,Indora,MOHTLI,32.2157,75.6687,2019,8.18,377,Nil,146,42,BDL,23,<0.1,120,32,9.7,35,4.9,0.15,17,,,,,2019,cgwb_2019.pdf
8,W320045076140001,Himachal Pradesh,Kangra,Kangra,BANDH,32.0042,76.2299,2019,8.45,310,12,159,28,BDL,7.2,<0.1,110,32,7.30,24,<1,0.30,23,,,,,2019,cgwb_2019.pdf
,,Himachal Pradesh,Kangra,Kangra,KANGRA,32.1067,76.2752,2019,8.47,275,12,110,21,BDL,20,<0.1,110,28,<5,22,2.2,0.15,23,,,,,2019,cgwb_2019.pdf
10,W320200076150001,Himachal Pradesh,Kangra,Kangra,TAKIPUR,32.0503,76.2538,2019,8.25,307,Nil,134,21,BDL,23,<0.1,130,28,15,16,<1,0.12,10,,,,,2019,cgwb_2019.pdf
11,W320315076372501,Himachal Pradesh,Kangra,Baijnath,PAPROLA,32.0536,76.6338,2019,7.72,200,Nil,85,21,BDL,15,<0.1,70,24,<5,20,3.9,0.32,6,,,,,2019,cgwb_2019.pdf
12,W314745076200001,Himachal Pradesh,Kangra,Dehra gopipur,BHAROLI,31.7921,76.3342,2019,8.32,630,12,159,83,10,32,<0.1,180,36,22,57,1.9,0.15,9.8,,,,,2019,cgwb_2019.pdf
13,W321605076010001,Himachal Pradesh,Kangra,Nurpur,MAO,32.2603,76.0106,2019,8.40,312,12,171,21,BDL,1.6,<0.1,130,40,7.3,28,1,0.17,14,,,,,2019,cgwb_2019.pdf
14,W320730075413001,Himachal Pradesh,Kangra,Indora,ANDAURA,32.1369,75.6894,2019,8.50,400,48,171,21,5,7.7,<0.1,140,28,17,55,2.3,0.25,19,,,,,2019,cgwb_2019.pdf
