sl_no,well_id,state,district,block,location,latitude,longitude,year,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U,Fe,As,source_year,source_file
1,W193530074180001,Maharashtra,Ahmednagar,SANGAMNER,Kokangaon,19.59166667,74.3,2022,7.9,1315,0,518.7,120.5,61.6,18.2,,465,80.2,64.4,88.3,1.6,0.53,,,2,,,2022,cgwb_2022.pdf
2,W192600074540001,Maharashtra,Ahmednagar,NEVASA,Vadala Bhairoba,19.43333333,74.9,2022,7.55,1513,0,292.9,191.4,187.4,63.7,,510,116.2,53.5,96.4,7.2,0.18,,,2,,,2022,cgwb_2022.pdf
3,W192400075180001,Maharashtra,Ahmednagar,SHEVGAON,Ghotan,19.4,75.3,2022,7.36,6611,0,756.6,1201.8,824.4,200.4,,1900,348.7,250.3,380.4,450.0,0.11,,,9,,,2022,cgwb_2022.pdf
4,W191640074134001,Maharashtra,Ahmednagar,SANGAMNER,Bote,19.27777778,74.22777778,2022,7.97,1276,0,305.1,102.8,79.5,200.1,,425,76.2,57.1,87.7,2.1,0.31,,,1,,,2022,cgwb_2022.pdf
5,W193130073553001,Maharashtra,Ahmednagar,AKOLA,Rajur,19.525,73.925,2022,7.85,638.4,0,323.4,24.8,18.4,11.1,,290,50.1,40.1,15.7,0.3,0.20,,,1,,,2022,cgwb_2022.pdf
6,W193400074131501,Maharashtra,Ahmednagar,SANGAMNER,Sangamner,19.56666667,74.22083333,2022,8.14,1810,0,445.4,198.5,124.6,197.0,,460,80.2,63.2,202.8,5.0,0.69,,,4,,,2022,cgwb_2022.pdf
7,W192100074103001,Maharashtra,Ahmednagar,SANGAMNER,Ambikhalsa,19.35,74.175,2022,8.02,950.8,0,378.3,60.3,53.1,38.8,,250,50.1,30.4,104.6,0.8,0.54,,,2,,,2022,cgwb_2022.pdf
8,W194300074290001,Maharashtra,Ahmednagar,KOPARGAON,Rahata,19.71666667,74.48333333,2022,7.63,3930,0,439.3,904.0,160.1,200.3,,1025,210.4,121.5,440.4,1.6,0.45,,,7,,,2022,cgwb_2022.pdf
9,W191400074400001,Maharashtra,Ahmednagar,NAGAR,Dehre,19.23333333,74.66666667,2022,8.08,516.5,0,207.5,49.6,16.3,3.4,,190,60.1,9.7,27.6,1.1,0.24,,,0,,,2022,cgwb_2022.pdf
10,W190620074375001,Maharashtra,Ahmednagar,NAGAR,Jakhangaon,19.10555556,74.63055556,2022,7.76,3735,0,360.0,397.0,890.1,80.0,,1230,210.4,171.3,297.1,6.1,0.59,,,8,,,2022,cgwb_2022.pdf
11,W193600074303001,Maharashtra,Ahmednagar,SHRIRAMPUR,Babhuleshwar,19.6,74.50833333,2022,8.11,868.7,0,366.1,53.2,46.6,13.1,,280,60.1,31.6,72.7,0.4,0.60,,,2,,,2022,cgwb_2022.pdf
