sl_no,well_id,state,district,block,location,latitude,longitude,year,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U,Fe,As,source_year,source_file
1,,Andaman & Nicobar Islands,North & Middle Andaman,,Bakultala,12.5043,92.8577,2023,7.96,395,0,171,14,28,8,0.04,160,12 32,,,18 5,0.18,,,-,0.53,-,2023,cgwb_2023.pdf
2,,Andaman & Nicobar Islands,North & Middle Andaman,,Baratang (Nilambur),12.1683,92.7670,2023,8.19,473,0,31,96,50,10,0.03,135,26 17,,,39 5,0.00,,,-,0.00,-,2023,cgwb_2023.pdf
3,,Andaman & Nicobar Islands,North & Middle Andaman,,Basantipur,12.7579,92.8737,2023,8.19,556,0,220,28,51,1,0.05,230,38 33,,,22 1,0.00,,,-,0.22,-,2023,cgwb_2023.pdf
4,,Andaman & Nicobar Islands,North & Middle Andaman,,Betapur,12.6191,92.9434,2023,8.07,487,0,214,57,0,2,0.08,95,18 12,,,68 8,0.16,,,-,0.04,-,2023,cgwb_2023.pdf
5,,Andaman & Nicobar Islands,North & Middle Andaman,,Dhobidera (Mayabunder),12.9099,92.8992,2023,8.02,567,0,232,39,29,11,0.04,230,28 39,,,31 1,0.13,,,-,0.22,-,2023,cgwb_2023.pdf
6,,Andaman & Nicobar Islands,North & Middle Andaman,,Durgapur,13.2765,93.0236,2023,8.20,526,0,232,25,28,0,0.09,160,34 18,,,43 1,0.38,,,-,1.14,-,2023,cgwb_2023.pdf
7,,Andaman & Nicobar Islands,North & Middle Andaman,,Haribay,13.0023,92.8442,2023,8.15,233,0,92,25,12,3,0.08,70,24 2,,,25 1,0.00,,,-,0.26,-,2023,cgwb_2023.pdf
8,,Andaman & Nicobar Islands,North & Middle Andaman,,Joypur,12.6982,92.8809,2023,8.13,457,0,201,32,26,1,0.10,220,14 45,,,12 0,0.12,,,-,0.00,-,2023,cgwb_2023.pdf
9,,Andaman & Nicobar Islands,North & Middle Andaman,,Kadamtala,12.3488,92.7750,2023,8.09,413,0,214,25,8,2,0.07,180,34 23,,,13 1,0.00,,,-,0.13,-,2023,cgwb_2023.pdf
10,,Andaman & Nicobar Islands,North & Middle Andaman,,Kausalyanagar,12.5284,92.8189,2023,8.08,276,0,122,21,13,4,0.02,95,24 9,,,23 3,0.00,,,-,0.26,-,2023,cgwb_2023.pdf
11,,Andaman & Nicobar Islands,North & Middle Andaman,,Keralapuram,13.2588,93.0135,2023,8.18,271,0,98,28,15,2,0.03,105,8 21,,,15 2,0.00,,,-,0.09,-,2023,cgwb_2023.pdf
12,,Andaman & Nicobar Islands,North & Middle Andaman,,Kishorinagar (Parangara),13.1630,92.8839,2023,8.25,72,0,31,7,1,1,0.00,30,6 4,,,3 1,0.03,,,-,0.00,-,2023,cgwb_2023.pdf
13,,Andaman & Nicobar Islands,North & Middle Andaman,,Laxmipur,13.2873,92.9640,2023,8.12,1081,0,98,163,186,0,0.01,255,12 55,,,113 5,0.69,,,-,1.89,-,2023,cgwb_2023.pdf
14,,Andaman & Nicobar Islands,North & Middle Andaman,,Long Island,12.3653,92.9248,2023,8.14,315,0,128,28,12,2,0.03,130,32 12,,,11 4,0.00,,,-,0.09,-,2023,cgwb_2023.pdf
15,,Andaman & Nicobar Islands,North & Middle Andaman,,Long Island,12.3644,92.9237,2023,8.15,353,0,159,14,30,0,0.09,165,12 33,,,9 0,0.00,,,-,0.22,-,2023,cgwb_2023.pdf
16,,Andaman & Nicobar Islands,North & Middle Andaman,,Long Island (Forest Area),12.3667,92.9231,2023,8.17,628,0,342,28,10,3,0.01,320,14 69,,,7 3,0.00,,,-,0.00,-,2023,cgwb_2023.pdf
17,,Andaman & Nicobar Islands,North & Middle Andaman,,Long Island (Sec. School),12.3671,92.9176,2023,8.13,342,0,177,18,7,0,0.00,140,24 19,,,12 0,0.03,,,-,0.00,-,2023,cgwb_2023.pdf
18,,Andaman & Nicobar Islands,North & Middle Andaman,,Milangram,13.3148,92.9431,2023,8.16,247,0,79,39,11,1,0.08,80,14 11,,,20 2,0.02,,,-,0.00,-,2023,cgwb_2023.pdf
19,,Andaman & Nicobar Islands,North & Middle Andaman,,Mohanpur,12.9546,92.8357,2023,7.91,416,0,201,21,2,20,0.01,190,34 26,,,13 3,0.11,,,-,6.97,-,2023,cgwb_2023.pdf
20,,Andaman & Nicobar Islands,North & Middle Andaman,,Nabagram,13.1555,92.9491,2023,8.21,298,0,116,35,0,2,0.09,95,24 9,,,25 1,0.00,,,-,0.22,-,2023,cgwb_2023.pdf
21,,Andaman & Nicobar Islands,North & Middle Andaman,,Nimbutala,12.4946,92.9542,2023,8.01,427,0,195,35,13,11,0.01,200,16 39,,,11 3,0.42,,,-,5.44,-,2023,cgwb_2023.pdf
22,,Andaman & Nicobar Islands,North & Middle Andaman,,Padmanavapuram,12.6063,92.9493,2023,7.91,294,0,98,21,25,26,0.03,70,26 1,,,37 1,0.27,,,-,0.18,-,2023,cgwb_2023.pdf
23,,Andaman & Nicobar Islands,North & Middle Andaman,,Pahalgaon,12.8393,92.8532,2023,8.03,405,0,183,35,11,6,0.10,190,12 39,,,12 1,0.11,,,-,0.04,-,2023,cgwb_2023.pdf
24,,Andaman & Nicobar Islands,North & Middle Andaman,,Parnashala,12.5244,92.9043,2023,8.08,703,0,232,103,8,3,0.10,230,22 43,,,60 6,0.00,,,-,0.18,-,2023,cgwb_2023.pdf
25,,Andaman & Nicobar Islands,North & Middle Andaman,,Phooltala Basti,12.4118,92.7629,2023,8.22,541,0,201,28,37,13,0.04,200,14 40,,,41 4,0.16,,,-,0.95,-,2023,cgwb_2023.pdf
26,,Andaman & Nicobar Islands,North & Middle Andaman,,Porlobjig-15,12.4960,92.7813,2023,8.21,290,0,134,18,12,3,0.04,115,16 18,,,13 1,0.00,,,-,1.97,-,2023,cgwb_2023.pdf
27,,Andaman & Nicobar Islands,North & Middle Andaman,,Rangat,12.5057,92.9108,2023,8.02,558,0,268,28,14,9,0.06,225,24 40,,,30 5,0.46,,,-,0.48,-,2023,cgwb_2023.pdf
28,,Andaman & Nicobar Islands,North & Middle Andaman,,Rest Camp,12.8328,92.8593,2023,7.95,441,0,171,35,32,8,0.00,170,34 21,,,21 1,0.42,,,-,0.26,-,2023,cgwb_2023.pdf
29,,Andaman & Nicobar Islands,North & Middle Andaman,,Shibpur,13.2507,93.0421,2023,7.81,886,0,275,142,7,2,0.10,215,28 35,,,107 7,0.00,,,-,0.22,-,2023,cgwb_2023.pdf
30,,Andaman & Nicobar Islands,North & Middle Andaman,,Sitanagar,13.2261,92.9359,2023,8.20,301,0,92,43,16,2,0.08,100,16 15,,,21 1,0.00,,,-,0.31,-,2023,cgwb_2023.pdf
31,,Andaman & Nicobar Islands,North & Middle Andaman,,South Creek (Sundergarh),12.1869,92.7919,2023,8.02,406,0,140,50,31,3,0.06,175,18 32,,,20 2,0.08,,,-,0.00,-,2023,cgwb_2023.pdf
32,,Andaman & Nicobar Islands,North & Middle Andaman,,Srinagar,13.1399,92.8688,2023,8.10,513,0,214,74,0,2,0.04,145,22 22,,,50 13,0.00,,,-,0.53,-,2023,cgwb_2023.pdf
33,,Andaman & Nicobar Islands,North & Middle Andaman,,Subhasgram,13.2432,92.9662,2023,7.96,1023,0,354,163,0,42,0.10,205,28 33,,,138 21,0.00,,,-,0.22,-,2023,cgwb_2023.pdf
34,,Andaman & Nicobar Islands,North & Middle Andaman,,Swadeshnagar,12.6508,92.8924,2023,8.23,385,0,177,28,20,1,0.03,170,20 29,,,13 2,0.10,,,-,0.00,-,2023,cgwb_2023.pdf
35,,Andaman & Nicobar Islands,North & Middle Andaman,,Tikadera,12.5228,92.8140,2023,8.16,271,0,49,32,39,2,0.06,40,10 4,,,40 1,0.00,,,-,0.22,-,2023,cgwb_2023.pdf
36,,Andaman & Nicobar Islands,North & Middle Andaman,,Tugapur No. 8,12.8196,92.8224,2023,7.96,358,0,171,21,17,2,0.06,170,44 15,,,8 1,0.04,,,-,1.49,-,2023,cgwb_2023.pdf
37,,Andaman & Nicobar Islands,North & Middle Andaman,,Uttara,12.3280,92.7901,2023,8.18,405,0,183,18,29,1,0.06,155,24 23,,,17 1,0.07,,,-,0.00,-,2023,cgwb_2023.pdf
38,,Andaman & Nicobar Islands,North & Middle Andaman,,Webi (Debipur),12.8669,92.8720,2023,8.11,190,0,37,18,12,25,0.00,35,8 4,,,9 36,0.03,,,-,0.09,-,2023,cgwb_2023.pdf
39,,Andaman & Nicobar Islands,South Andaman,,6½ No. Forest Camp,12.0080,92.9671,2023,8.24,368,0,128,53,0,5,0.10,90,20 10,,,40 5,0.00,,,-,1.27,-,2023,cgwb_2023.pdf
40,,Andaman & Nicobar Islands,South Andaman,,Annikat,11.7075,92.6482,2023,8.24,342,0,153,18,27,1,0.05,145,22 22,,,16 1,0.00,,,-,2.28,-,2023,cgwb_2023.pdf
41,,Andaman & Nicobar Islands,South Andaman,,Austinabad (Port Blair),11.6351,92.7347,2023,8.14,278,0,110,28,12,0,0.00,100,16 15,,,20 1,0.05,,,-,0.00,-,2023,cgwb_2023.pdf
42,,Andaman & Nicobar Islands,South Andaman,,Bambooflat,11.7055,92.7150,2023,8.18,515,0,256,32,22,0,0.00,180,30 26,,,38 2,0.14,,,-,0.83,-,2023,cgwb_2023.pdf
43,,Andaman & Nicobar Islands,South Andaman,,Beadnabad Tubewell,11.5856,92.7339,2023,8.22,307,0,116,28,5,13,0.02,115,24 13,,,17 4,0.00,,,-,0.44,-,2023,cgwb_2023.pdf
44,,Andaman & Nicobar Islands,South Andaman,,Bharatpur,11.8304,93.0384,2023,7.98,329,0,146,25,17,0,0.05,145,14 27,,,12 0,0.34,,,-,0.04,-,2023,cgwb_2023.pdf
45,,Andaman & Nicobar Islands,South Andaman,,Bharatpur,11.8362,93.0447,2023,7.63,384,0,134,32,25,3,0.07,130,18 21,,,28 4,0.49,,,-,0.00,-,2023,cgwb_2023.pdf
46,,Andaman & Nicobar Islands,South Andaman,,Bindraban,11.7220,92.6674,2023,8.23,450,0,146,39,44,0,0.04,175,16 33,,,26 2,0.02,,,-,0.82,-,2023,cgwb_2023.pdf
47,,Andaman & Nicobar Islands,South Andaman,,Brichganj,11.6150,92.7377,2023,8.16,292,0,159,14,7,0,0.00,135,24 18,,,9 0,0.13,,,-,0.00,-,2023,cgwb_2023.pdf
48,,Andaman & Nicobar Islands,South Andaman,,Brookshabad (Port Blair),11.6380,92.7404,2023,8.07,526,0,293,21,17,0,0.00,235,38 34,,,20 2,0.09,,,-,0.04,-,2023,cgwb_2023.pdf
49,,Andaman & Nicobar Islands,South Andaman,,Burmanala,11.5580,92.7294,2023,8.27,376,0,189,25,15,0,0.00,155,30 19,,,19 0,0.09,,,-,0.09,-,2023,cgwb_2023.pdf
50,,Andaman & Nicobar Islands,South Andaman,,Calicut,11.6074,92.7264,2023,8.17,394,0,201,21,16,0,0.00,160,32 19,,,19 0,0.08,,,-,0.26,-,2023,cgwb_2023.pdf
51,,Andaman & Nicobar Islands,South Andaman,,Calicut Borewell,11.6001,92.7195,2023,8.05,330,0,104,35,21,14,0.10,135,22 19,,,11 4,0.00,,,-,1.01,-,2023,cgwb_2023.pdf
52,,Andaman & Nicobar Islands,South Andaman,,Chidiyatapu,11.5033,92.7019,2023,8.22,594,0,268,39,23,0,0.00,225,36 33,,,29 1,0.07,,,-,0.09,-,2023,cgwb_2023.pdf
53,,Andaman & Nicobar Islands,South Andaman,,Chouldari 1,11.6312,92.6670,2023,8.24,622,0,256,46,53,1,0.08,135,26 17,,,88 1,0.10,,,-,0.09,-,2023,cgwb_2023.pdf
54,,Andaman & Nicobar Islands,South Andaman,,Corbyn'S Cove (Port Blair),11.6425,92.7460,2023,7.70,713,0,281,78,30,0,0.00,230,52 24,,,66 2,0.13,,,-,0.00,-,2023,cgwb_2023.pdf
55,,Andaman & Nicobar Islands,South Andaman,,Dandaspoint,11.6704,92.7074,2023,8.27,339,0,146,35,3,5,0.00,150,28 19,,,12 1,0.09,,,-,2.76,-,2023,cgwb_2023.pdf
56,,Andaman & Nicobar Islands,South Andaman,,Dhannikhari,11.6126,92.6671,2023,8.24,355,0,61,78,8,2,0.06,70,14 9,,,45 10,0.00,,,-,0.30,-,2023,cgwb_2023.pdf
57,,Andaman & Nicobar Islands,South Andaman,,Dollyganj Chowk,11.6343,92.7228,2023,8.23,591,0,287,21,29,0,0.06,185,24 30,,,41 1,0.18,,,-,0.00,-,2023,cgwb_2023.pdf
58,,Andaman & Nicobar Islands,South Andaman,,Dolphin Yatri Niwas,12.0189,93.0112,2023,8.08,259,0,104,21,9,3,0.07,80,22 6,,,18 1,0.00,,,-,0.04,-,2023,cgwb_2023.pdf
59,,Andaman & Nicobar Islands,South Andaman,,Ferrarganj,11.7175,92.6531,2023,8.09,1004,0,494,89,0,3,0.00,300,34 52,,,104 12,0.52,,,-,0.13,-,2023,cgwb_2023.pdf
60,,Andaman & Nicobar Islands,South Andaman,,Garacharma,11.6137,92.7095,2023,8.00,695,0,299,60,29,0,0.00,250,42 35,,,37 3,0.15,,,-,0.31,-,2023,cgwb_2023.pdf
61,,Andaman & Nicobar Islands,South Andaman,,Govindanagar Vill No - 1,12.0302,92.9972,2023,7.92,809,0,226,135,25,4,0.06,215,30 34,,,98 3,0.09,,,-,0.00,-,2023,cgwb_2023.pdf
62,,Andaman & Nicobar Islands,South Andaman,,Govindanagar Vill No - 3,12.0232,93.0036,2023,8.06,413,0,214,25,8,2,0.08,125,18 19,,,38 3,0.57,,,-,0.00,-,2023,cgwb_2023.pdf
63,,Andaman & Nicobar Islands,South Andaman,,Gupta Para,11.5599,92.6587,2023,8.20,371,0,153,18,32,2,0.02,140,24 19,,,22 2,0.00,,,-,0.00,-,2023,cgwb_2023.pdf
64,,Andaman & Nicobar Islands,South Andaman,,Haddo – 2,11.7685,92.7279,2023,8.27,617,0,214,82,27,1,0.02,240,16 49,,,34 1,0.07,,,-,0.17,-,2023,cgwb_2023.pdf
