sl_no,well_id,state,district,block,location,latitude,longitude,year,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U,Fe,As,source_year,source_file
1,W232200071580001,Gujarat,Ahmedabad,Mandal,Dalod,"23°22'12""","71°58'12""",2020,8.2,16640,0,1257,5176,822,26,,1451,152,260,3535,45,1.0,,11149,,,,2020,cgwb_2020.pdf
2,W231620072033001,Gujarat,Ahmedabad,Viramgam,Endla,"23°16'12""","71°03'36""",2020,7.4,715,0,354,50,18,0.23,,280,56,34,47,11.0,0.46,,479,,,,2020,cgwb_2020.pdf
3,W222230071591001,Gujarat,Ahmedabad,Dhandhuka,Dhandhuka1,22.376073,71.987684,2020,8.2,7328,0,1135,1546,494,220,,681,72,122,1384,44,5.0,,4910,,,,2020,cgwb_2020.pdf
4,W221745071565001,Gujarat,Ahmedabad,Dhandhuka,Tagadi1,22.296421,71.945626,2020,8.1,2960,0,427,269,798,43,,550,132,54,437,24,0.8,,1983,,,,2020,cgwb_2020.pdf
5,W220900071533001,Gujarat,Ahmedabad,Barwala,Barvala,22.162375,71.894176,2020,8.2,7338,0,1293,1198,1002,33,,380,32,73,1550,0.27,3.8,,4916,,,,2020,cgwb_2020.pdf
6,W220550071535001,Gujarat,Ahmedabad,Barwala,Lonjdhara,22.096372,71.893154,2020,8.2,1264,0,500,142,30,49,,170,20,29,225,0.51,2.4,,847,,,,2020,cgwb_2020.pdf
7,W221830071413001,Gujarat,Ahmedabad,Ranpur,Rajpada,22.318608,71.69566,2020,8.1,708,0,293,57,30,37,,240,40.08,34,70,0.31,0.73,,474,,,,2020,cgwb_2020.pdf
8,,Gujarat,Ahmedabad,Ranpur,Kundali,22.260329,71.668467,2020,8.2,735,0,403,35,17,11,,310,44,49,45,0.26,0.37,,492,,,,2020,cgwb_2020.pdf
9,W213130071213001,Gujarat,Amreli Lilia,,Punjapadar,21.530495,71.359185,2020,7.1,436,0,183,35,38,0.39,,80,24,4.9,68,4.2,0.51,,292,,,,2020,cgwb_2020.pdf
10,W191810084453301,Gujarat,Amreli Lathi,,Lathi,21.726976,71.382977,2020,8.2,1055,0,390,149,41,12,,220,36,32,157,0.23,0.50,,707,,,,2020,cgwb_2020.pdf
11,W214330071280001,Gujarat,Amreli Lathi,,Tajpur,21.72537,71.461433,2020,7.9,444,0,220,28,19,5.5,,160,40,15,37,1.94,0.40,,297,,,,2020,cgwb_2020.pdf
12,W214900071244501,Gujarat,Amreli Lathi,,Chavand,21.81105,71.40574,2020,8.1,607,0,305,35,23,5.2,,210,40,27,58,0.90,0.40,,407,,,,2020,cgwb_2020.pdf
13,W215500071130001,Gujarat,Amreli,Babra,Untvad,21.906801,71.222832,2020,8.0,1215,0,244,156,57,174,,510,128,46,63,0.38,0.42,,814,,,,2020,cgwb_2020.pdf
14,W215730071121501,Gujarat,Amreli,Babra,Kotadapitha,21.951223,71.206321,2020,8.1,385,0,183,28,16,4.8,,140,24,19,30,1.94,0.40,,258,,,,2020,cgwb_2020.pdf
15,W213945070590001,Gujarat,Amreli,Bagasara,Kunkavav,21.6555,70.980484,2020,7.8,1306,0,305,199,101,68,,370,60,54,143,0.71,0.22,,875,,,,2020,cgwb_2020.pdf
16,W213500070580001,Gujarat,Amreli,Bagasara,Vaghania juna,21.583441,70.969502,2020,8.0,1296,0,598,106,41,35,,230,28,39,220,8.05,1.1,,868,,,,2020,cgwb_2020.pdf
17,W212845070574501,Gujarat,Amreli,Bagasara,Bagasara,21.476752,70.960818,2020,7.8,3589,0,403,780,260,230,,1101,132,187,357,0.39,0.46,,2405,,,,2020,cgwb_2020.pdf
18,,Gujarat,Amreli,Amreli,Amreli,21.609747,71.223979,2020,7.4,1280,0,317,199,96,50,,410,100,39,112,1.3,0.14,,858,,,,2020,cgwb_2020.pdf
19,W213230071093001,Gujarat,Amreli,Amreli,Govadka,21.542967,71.157289,2020,7.6,507,0,195,50,26,18,,160,32,19,50,9.5,0.29,,340,,,,2020,cgwb_2020.pdf
20,W213115071081001,Gujarat,Amreli,Amreli,Vankiya,21.539569,71.165526,2020,7.9,725,0,342,57,28,13,,90,16,12,136,0.67,0.69,,486,,,,2020,cgwb_2020.pdf
21,W212500071100001,Gujarat,Amreli,Dhari,Chalala,21.414865,71.165137,2020,8.2,580,0,220,71,32,8.8,,200,36,27,52,0.99,0.22,,389,,,,2020,cgwb_2020.pdf
22,W212234071070701,Gujarat,Amreli,Dhari,Morjhar,21.375768,71.113977,2020,7.8,833,0,293,121,30,22,,330,60,44,61,0.30,0.18,,558,,,,2020,cgwb_2020.pdf
